disorder_cui|name|definition
C0036474|Scurvy|An acquired blood vessel disorder caused by severe deficiency of vitamin C (ASCORBIC ACID) in the diet leading to defective collagen formation in small blood vessels. Scurvy is characterized by bleeding in any tissue, weakness, ANEMIA, spongy gums, and a brawny induration of the muscles of the calves and legs.
C0025637|Methemoglobinemia|The presence of methemoglobin in the blood, resulting in cyanosis. A small amount of methemoglobin is present in the blood normally, but injury or toxic agents convert a larger proportion of hemoglobin into methemoglobin, which does not function reversibly as an oxygen carrier. Methemoglobinemia may be due to a defect in the enzyme NADH methemoglobin reductase (an autosomal recessive trait) or to an abnormality in hemoglobin M (an autosomal dominant trait). (Dorland, 27th ed)
C0035528|Riboflavin Deficiency|A dietary deficiency of riboflavin causing a syndrome chiefly marked by cheilitis, angular stomatitis, glossitis associated with a purplish red or magenta-colored tongue that may show fissures, corneal vascularization, dyssebacia, and anemia. (Dorland, 27th ed)
C0020557|Hypertriglyceridemia|A condition of elevated levels of TRIGLYCERIDES in the blood.
C0085096|Peripheral Vascular Diseases|Pathological processes involving any one of the BLOOD VESSELS in the vasculature outside the HEART.
C0030783|Pellagra|A disease due to deficiency of NIACIN, a B-complex vitamin, or its precursor TRYPTOPHAN. It is characterized by scaly DERMATITIS which is often associated with DIARRHEA and DEMENTIA (the three D's).
C4721414|Mantle cell lymphoma|A form of non-Hodgkin lymphoma having a usually diffuse pattern with both small and medium lymphocytes and small cleaved cells. It accounts for about 5% of adult non-Hodgkin lymphomas in the United States and Europe. The majority of mantle-cell lymphomas are associated with a t(11;14) translocation resulting in overexpression of the CYCLIN D1 gene (GENES, BCL-1).
C0206750|Coronavirus Infections|Virus diseases caused by the CORONAVIRUS genus. Some specifics include transmissible enteritis of turkeys (ENTERITIS, TRANSMISSIBLE, OF TURKEYS); FELINE INFECTIOUS PERITONITIS; and transmissible gastroenteritis of swine (GASTROENTERITIS, TRANSMISSIBLE, OF SWINE).
C0042769|Virus Diseases|A general term for diseases caused by viruses.
C1263846|Attention deficit hyperactivity disorder|A behavior disorder originating in childhood in which the essential features are signs of developmentally inappropriate inattention, impulsivity, and hyperactivity. Although most individuals have symptoms of both inattention and hyperactivity-impulsivity, one or the other pattern may be predominant. The disorder is more frequent in males than females. Onset is in childhood. Symptoms often attenuate during late adolescence although a minority experience the full complement of symptoms into mid-adulthood. (From DSM-V)
C0015672|Fatigue|The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.
C0520679|Sleep Apnea, Obstructive|A disorder characterized by recurrent apneas during sleep despite persistent respiratory efforts. It is due to upper airway obstruction. The respiratory pauses may induce HYPERCAPNIA or HYPOXIA. Cardiac arrhythmias and elevation of systemic and pulmonary arterial pressures may occur. Frequent partial arousals occur throughout sleep, resulting in relative SLEEP DEPRIVATION and daytime tiredness. Associated conditions include OBESITY; ACROMEGALY; MYXEDEMA; micrognathia; MYOTONIC DYSTROPHY; adenotonsilar dystrophy; and NEUROMUSCULAR DISEASES. (From Adams et al., Principles of Neurology, 6th ed, p395)
C0027404|Narcolepsy|A condition characterized by recurrent episodes of daytime somnolence and lapses in consciousness (microsomnias) that may be associated with automatic behaviors and AMNESIA. CATAPLEXY; SLEEP PARALYSIS, and hypnagogic HALLUCINATIONS frequently accompany narcolepsy. The pathophysiology of this disorder includes sleep-onset rapid eye movement (REM) sleep, which normally follows stage III or IV sleep. (From Neurology 1998 Feb;50(2 Suppl 1):S2-S7)
C0003469|Anxiety Disorders|Persistent and disabling ANXIETY.
C0042109|Urticaria|A vascular reaction of the skin characterized by erythema and wheal formation due to localized increase of vascular permeability. The causative mechanism may be allergy, infection, or stress.
C0037383|Sneezing|The sudden, forceful, involuntary expulsion of air from the NOSE and MOUTH caused by irritation to the MUCOUS MEMBRANES of the upper RESPIRATORY TRACT.
C0035457|Rhinitis, Allergic, Perennial|Inflammation of the mucous membrane of the nose similar to that found in hay fever except that symptoms persist throughout the year. The causes are usually air-borne allergens, particularly dusts, feathers, molds, animal fur, etc.
C0026603|Motion Sickness|Disorder caused by motion. It includes sea sickness, train sickness, roller coaster rides, rocking chair, hammock swing, car sickness, air sickness, or SPACE MOTION SICKNESS. Symptoms include nausea, vomiting and/or dizziness.
C0027497|Nausea|An unpleasant sensation in the stomach usually accompanied by the urge to vomit. Common causes are early pregnancy, sea and motion sickness, emotional stress, intense pain, food poisoning, and various enteroviruses.
C0021603|Sleep Initiation and Maintenance Disorders|Disorders characterized by impairment of the ability to initiate or maintain sleep. This may occur as a primary disorder or in association with another medical or psychiatric condition.
C0040435|Tooth Diseases|Diseases involving the TEETH.
C0042875|Vitamin E Deficiency|A nutritional condition produced by a deficiency of VITAMIN E in the diet, characterized by posterior column and spinocerebellar tract abnormalities, areflexia, ophthalmoplegia, and disturbances of gait, proprioception, and vibration. In premature infants vitamin E deficiency is associated with hemolytic anemia, thrombocytosis, edema, intraventricular hemorrhage, and increasing risk of retrolental fibroplasia and bronchopulmonary dysplasia. An apparent inborn error of vitamin E metabolism, named familial isolated vitamin E deficiency, has recently been identified. (Cecil Textbook of Medicine, 19th ed, p1181)
C0936215|Vitamin B 6 Deficiency|A nutritional condition produced by a deficiency of VITAMIN B 6 in the diet, characterized by dermatitis, glossitis, cheilosis, and stomatitis. Marked deficiency causes irritability, weakness, depression, dizziness, peripheral neuropathy, and seizures. In infants and children typical manifestations are diarrhea, anemia, and seizures. Deficiency can be caused by certain medications, such as isoniazid.
C0015967|Fever|An abnormal elevation of body temperature, usually as a result of a pathologic process.
C0010200|Coughing|A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. It is a protective response that serves to clear the trachea, bronchi, and/or lungs of irritants and secretions, or to prevent aspiration of foreign materials into the lungs.
C1956346|Coronary Artery Disease|Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.
C0020476|Hyperlipoproteinemias|Conditions with abnormally elevated levels of LIPOPROTEINS in the blood. They may be inherited, acquired, primary, or secondary. Hyperlipoproteinemias are classified according to the pattern of lipoproteins on electrophoresis or ultracentrifugation.
C0020445|Hypercholesterolemia, Familial|A group of familial disorders characterized by elevated circulating cholesterol contained in either LOW-DENSITY LIPOPROTEINS alone or also in VERY-LOW-DENSITY LIPOPROTEINS (pre-beta lipoproteins).
C0020474|Hyperlipidemia, Familial Combined|A type of familial lipid metabolism disorder characterized by a variable pattern of elevated plasma CHOLESTEROL and/or TRIGLYCERIDES. Multiple genes on different chromosomes may be involved, such as the major late transcription factor (UPSTREAM STIMULATORY FACTORS) on CHROMOSOME 1.
C0023448|Lymphoid leukemia|Leukemia associated with HYPERPLASIA of the lymphoid tissues and increased numbers of circulating malignant LYMPHOCYTES and lymphoblasts.
C1568272|Tendinopathy|Clinical syndrome describing overuse tendon injuries characterized by a combination of PAIN, diffuse or localized swelling, and impaired performance.
C0013274|Patent ductus arteriosus|A congenital heart defect characterized by the persistent opening of fetal DUCTUS ARTERIOSUS that connects the PULMONARY ARTERY to the descending aorta (AORTA, DESCENDING) allowing unoxygenated blood to bypass the lung and flow to the PLACENTA. Normally, the ductus is closed shortly after birth.
C0006444|Bursitis|Inflammation or irritation of a SYNOVIAL BURSA, the fibrous sac that acts as a cushion between moving structures of bones, muscles, tendons or skin.
C0003868|Arthritis, Gouty|Arthritis, especially of the great toe, as a result of gout. Acute gouty arthritis often is precipitated by trauma, infection, surgery, etc. The initial attacks are usually monoarticular but later attacks are often polyarticular. Acute and chronic gouty arthritis are associated with accumulation of MONOSODIUM URATE in and around affected joints.
C0029408|Degenerative polyarthritis|A progressive, degenerative joint disease, the most common form of arthritis, especially in older persons. The disease is thought to result not from the aging process but from biochemical changes and biomechanical stresses affecting articular cartilage. In the foreign literature it is often called osteoarthrosis deformans.
C1318543|Fibrous histiocytoma of tendon sheath|A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.
C2063866|Depressive Disorder, Treatment-Resistant|Failure to respond to two or more trials of antidepressant monotherapy or failure to respond to four or more trials of different antidepressant therapies. (Campbell's Psychiatric Dictionary, 9th ed.)
C0054020|brain-associated small-cell lung cancer antigen|undefined
C0013537|Eclampsia|Onset of HYPERREFLEXIA; SEIZURES; or COMA in a previously diagnosed pre-eclamptic patient (PRE-ECLAMPSIA).
C0040479|Torsades de Pointes|A malignant form of polymorphic ventricular tachycardia that is characterized by HEART RATE between 200 and 250 beats per minute, and QRS complexes with changing amplitude and twisting of the points. The term also describes the syndrome of tachycardia with prolonged ventricular repolarization, long QT intervals exceeding 500 milliseconds or BRADYCARDIA. Torsades de pointes may be self-limited or may progress to VENTRICULAR FIBRILLATION.
C0042510|Ventricular Fibrillation|A potentially lethal cardiac arrhythmia that is characterized by uncoordinated extremely rapid firing of electrical impulses (400-600/min) in HEART VENTRICLES. Such asynchronous ventricular quivering or fibrillation prevents any effective cardiac output and results in unconsciousness (SYNCOPE). It is one of the major electrocardiographic patterns seen with CARDIAC ARREST.
